dispersion,seed,scenario_index,method,objective,adr_kbps,log_utility
low,3,7,Resource-cost k-means,ADR,7500.0,0.9333333333333336
low,3,7,Multi-feature k-means,ADR,7500.0,0.9333333333333336
low,3,8,No grouping,log-utility,7500.0,0.9333333333333336
low,3,8,CQI k-means,log-utility,7046.666666666667,0.9410874964400732
low,3,8,Resource-cost k-means,log-utility,7443.333333333333,0.9343026037216757
low,3,8,Multi-feature k-means,log-utility,6774.666666666667,0.9457399943041167
low,3,8,No grouping,ADR,7500.0,0.9333333333333336
low,3,8,CQI k-means,ADR,7500.0,0.9333333333333336
low,3,8,Resource-cost k-means,ADR,7500.0,0.9333333333333336
low,3,8,Multi-feature k-means,ADR,7500.0,0.9333333333333336
low,3,9,No grouping,log-utility,7500.0,0.9353333333333336
low,3,9,CQI k-means,log-utility,7001.333333333333,0.9438629127507471
low,3,9,Resource-cost k-means,log-utility,7375.333333333333,0.9374657281876868
low,3,9,Multi-feature k-means,log-utility,6854.0,0.9463830157604375
low,3,9,No grouping,ADR,7500.0,0.9353333333333336
low,3,9,CQI k-means,ADR,7500.0,0.9353333333333336
low,3,9,Resource-cost k-means,ADR,7500.0,0.9353333333333336
low,3,9,Multi-feature k-means,ADR,7500.0,0.9353333333333336
low,3,10,No grouping,log-utility,7500.0,0.9286666666666668
low,3,10,CQI k-means,log-utility,6910.666666666667,0.9387470787054284
low,3,10,Resource-cost k-means,log-utility,7352.666666666667,0.9311867696763572
low,3,10,Multi-feature k-means,log-utility,6842.666666666667,0.9399102031714393
low,3,10,No grouping,ADR,7500.0,0.9286666666666668
low,3,10,CQI k-means,ADR,7500.0,0.9286666666666668
low,3,10,Resource-cost k-means,ADR,7500.0,0.9286666666666668
low,3,10,Multi-feature k-means,ADR,7500.0,0.9286666666666668
low,3,11,No grouping,log-utility,7500.0,0.9373333333333335
low,3,11,CQI k-means,log-utility,7024.0,0.9454752045954101
low,3,11,Resource-cost k-means,log-utility,7466.0,0.9379148955663389
low,3,11,Multi-feature k-means,log-utility,6797.333333333333,0.9493522861487801
low,3,11,No grouping,ADR,7500.0,0.9373333333333335
low,3,11,CQI k-means,ADR,7500.0,0.9373333333333335
low,3,11,Resource-cost k-means,ADR,7500.0,0.9373333333333335
low,3,11,Multi-feature k-means,ADR,7500.0,0.9373333333333335
low,3,12,No grouping,log-utility,7500.0,0.9326666666666669
low,3,12,CQI k-means,log-utility,7103.333333333333,0.9394515593850641
low,3,12,Resource-cost k-means,log-utility,7398.0,0.9344113533656833
