dispersion,load,seed,method,mean_utility,n_scenarios
low,heavy,seed_0006,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0006,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0007,CQI k-means,0.35593639169248775,15
low,heavy,seed_0007,Trend-slope k-means,0.35593639169248775,15
low,heavy,seed_0007,Trend-volatility k-means,0.35593639169248775,15
low,heavy,seed_0007,Trend-downside-deviation k-means,0.35593639169248775,15
low,heavy,seed_0007,Trend-only union (CQI+slope+volatility+downside),0.35593639169248775,15
low,heavy,seed_0007,"CQI+cost+regret-graph 3-way union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated base),0.35593639169248775,15
low,heavy,seed_0007,"CQI+cost+regret-graph+trend union (ablation, no switching)",0.35593639169248775,15
low,heavy,seed_0007,CQI+cost+switching+regret-graph+trend union,0.35593639169248775,15
low,heavy,seed_0008,CQI k-means,0.34939212393778635,15
low,heavy,seed_0008,Trend-slope k-means,0.34414817000993464,15
low,heavy,seed_0008,Trend-volatility k-means,0.34414817000993464,15
