scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000270,14.8,1,3,15,9,6.000000,549.120000,856.000000,0
simu5g_00000270,14.8,2,3,11,9,2.000000,344.320000,680.000000,0
simu5g_00000271,14.9,15,31,13,14,1.000000,123.840000,456.000000,0
simu5g_00000272,14.9,0,1,13,14,1.000000,190.720000,760.000000,0
simu5g_00000272,14.9,0,2,13,11,2.000000,248.640000,600.000000,0
simu5g_00000272,14.9,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000272,14.9,1,2,14,11,3.000000,284.480000,792.000000,0
simu5g_00000272,14.9,1,3,14,9,5.000000,522.560000,856.000000,0
simu5g_00000272,14.9,2,3,11,9,2.000000,337.920000,680.000000,0
simu5g_00000273,15.0,15,31,15,14,1.000000,113.600000,728.000000,0
simu5g_00000274,15.0,0,1,13,15,2.000000,184.000000,792.000000,0
simu5g_00000274,15.0,0,2,13,11,2.000000,248.640000,600.000000,0
simu5g_00000274,15.0,0,3,13,9,4.000000,408.000000,856.000000,0
simu5g_00000274,15.0,1,2,15,11,4.000000,300.800000,792.000000,0
simu5g_00000274,15.0,1,3,15,9,6.000000,546.560000,856.000000,0
simu5g_00000274,15.0,2,3,11,9,2.000000,337.920000,680.000000,0
simu5g_00000275,15.1,15,31,15,14,1.000000,113.600000,728.000000,0
