scenario_mode,load_level,seed,method,test_index,utility
aligned,light,17,Multi-feature k-means,24,0.8957447783169407
aligned,light,17,Multi-feature k-means,25,0.9556738197814211
aligned,light,17,Multi-feature k-means,26,0.889539055825137
aligned,light,17,Multi-feature k-means,27,0.8877955651293264
aligned,light,17,Multi-feature k-means,28,0.8957447783169407
aligned,light,17,Multi-feature k-means,29,0.6934526262621749
aligned,light,17,Offline teacher,0,0.7686629014337704
aligned,light,17,Offline teacher,1,0.8957447783169409
aligned,light,17,Offline teacher,2,0.8992317597085616
aligned,light,17,Offline teacher,3,0.9489361945792352
aligned,light,17,Offline teacher,4,0.7305069199924018
aligned,light,17,Offline teacher,5,0.9028665236648458
aligned,light,17,Offline teacher,6,0.6806632331127496
aligned,light,17,Offline teacher,7,0.625687184784693
aligned,light,17,Offline teacher,8,0.9525709585355194
aligned,light,17,Offline teacher,9,0.6547004512313384
aligned,light,17,Offline teacher,10,0.5977005203561372
aligned,light,17,Offline teacher,11,0.9381796852750458
aligned,light,17,Offline teacher,12,0.8973404864480878
aligned,light,17,Offline teacher,13,0.7119117766625863
aligned,light,17,Offline teacher,14,0.8861998569981792
aligned,light,17,Offline teacher,15,0.7627211583239762
aligned,light,17,Offline teacher,16,0.902866523664846
aligned,light,17,Offline teacher,17,0.7183216023460844
aligned,light,17,Offline teacher,18,0.9411347639562843
aligned,light,17,Offline teacher,19,0.9477246065938071
aligned,light,17,Offline teacher,20,0.9447695279125684
aligned,light,17,Offline teacher,21,0.935224606593807
aligned,light,17,Offline teacher,22,0.9423463519417123
aligned,light,17,Offline teacher,23,0.707036103231839
aligned,light,17,Offline teacher,24,0.9028665236648458
aligned,light,17,Offline teacher,25,0.9423463519417122
aligned,light,17,Offline teacher,26,0.8992317597085616
aligned,light,17,Offline teacher,27,0.8903665236648463
aligned,light,17,Offline teacher,28,0.9028665236648458
aligned,light,17,Offline teacher,29,0.721057404557636
aligned,light,17,LE-GRA[history_cost_none],0,0.7232926816608273
aligned,light,17,LE-GRA[history_cost_none],1,0.8957447783169407
aligned,light,17,LE-GRA[history_cost_none],2,0.8992317597085616
aligned,light,17,LE-GRA[history_cost_none],3,0.9477246065938072
aligned,light,17,LE-GRA[history_cost_none],4,0.7305069199924018
aligned,light,17,LE-GRA[history_cost_none],5,0.9004433476939896
aligned,light,17,LE-GRA[history_cost_none],6,0.6436716401347501
aligned,light,17,LE-GRA[history_cost_none],7,0.5888489920267146
aligned,light,17,LE-GRA[history_cost_none],8,0.9513593705500912
aligned,light,17,LE-GRA[history_cost_none],9,0.6310388227027842
aligned,light,17,LE-GRA[history_cost_none],10,0.5749260094852396
aligned,light,17,LE-GRA[history_cost_none],11,0.9490839771438982
aligned,light,17,LE-GRA[history_cost_none],12,0.9021868383898001
aligned,light,17,LE-GRA[history_cost_none],13,0.6891636743803972
aligned,light,17,LE-GRA[history_cost_none],14,0.883776681027323
aligned,light,17,LE-GRA[history_cost_none],15,0.7525310503778128
aligned,light,17,LE-GRA[history_cost_none],16,0.8980201717231334
aligned,light,17,LE-GRA[history_cost_none],17,0.7046726134183752
aligned,light,17,LE-GRA[history_cost_none],18,0.9496158798542808
aligned,light,17,LE-GRA[history_cost_none],19,0.9502955651293264
aligned,light,17,LE-GRA[history_cost_none],20,0.947340486448088
aligned,light,17,LE-GRA[history_cost_none],21,0.934013018608379
aligned,light,17,LE-GRA[history_cost_none],22,0.950827467839709
aligned,light,17,LE-GRA[history_cost_none],23,0.6853353939010901
aligned,light,17,LE-GRA[history_cost_none],24,0.8980201717231334
aligned,light,17,LE-GRA[history_cost_none],25,0.9496158798542808
aligned,light,17,LE-GRA[history_cost_none],26,0.9016549356794177
aligned,light,17,LE-GRA[history_cost_none],27,0.8926419170710386
aligned,light,17,LE-GRA[history_cost_none],28,0.8980201717231334
aligned,light,17,LE-GRA[history_cost_none],29,0.7207506041175935
aligned,light,17,LE-GRA[full_none],0,0.7686629014337704
aligned,light,17,LE-GRA[full_none],1,0.8957447783169407
